arm,eta,R_m,seed,C_realised,C_asymptotic,n_cells_total,mean_members,tour_len_m,T1_s,max_kappa_rho,solver,words,wall_s,schema_version,prov_id
bhh,0.0,94,1100,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1101,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1102,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1103,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1104,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1105,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1106,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1107,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1108,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1109,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1110,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1111,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1112,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1113,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1114,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1115,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1116,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
